Shazam Top 50 Athens
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Argy & Omnya","Aria"
2,"ZERB & Sofiya Nzau","Mwaki"
3,"Alex Sid, Quasamodo & Man Called Shadow","Blazing"
4,"Teddy Swims","Lose Control"
5,"TH;EN","Katania"
6,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
7,"Jack Harlow","Lovin On Me"
8,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
9,"Tyla","Water"
10,"Pan Pan","Ανισόπεδη Ντίσκο (feat. Kalliopi Mitropoulou)"
11,"Haris Alexiou & Lex","Fyge (Reworks)"
12,"Nico de Andrea & Vanetty","Ethnica"
13,"ZAF & Christos Mastoras","Pes"
14,"Mina","Ancora, ancora, ancora (Radio Edit) [Mark Ronson Remix]"
15,"Nikos Oikonomopoulos","Ekptotos Aggelos"
16,"The Beatles","Now And Then"
17,"TH;EN","Lullaby (Radio Mix)"
18,"Doja Cat","Paint The Town Red"
19,"James Mac & Vall","The Boy Is Mine (feat. Rosalie)"
20,"Troye Sivan","One Of Your Girls"
21,"Coi Leray","Players"
22,"Chris IDH","Buya (feat. Kwezi)"
23,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
24,"Loreen","Tattoo"
25,"Kali Uchis","Te Mata"
26,"Claude","Ladada (Mes Derniers Mots)"
27,"Tate McRae","greedy"
28,"MR.BLACK & Offer Nissim","Mucho Bien (Joezi Remix)"
29,"EDE","Do My Thing (Dixon Rework - Edit)"
30,"Nicos Terzis, Giorgos Stratakis & Nikos Stratakis","Ekei Pou Klaine Oi Aetoi (feat. Yiannis Kotsiras) [From Original Tv Series "Sasmos" Soundtrack]"
31,"Haris Alexiou & Christos Mastoras","Esy Me Xereis Pio Poly (Reworks)"
32,"Konstantinos Argiros","Einai Pou Akoma S' Agapo (Pt. 3 - Energia)"
33,"Purple Disco Machine & Kungs","Substitution (feat. Julian Perretta)"
34,"Telenova","Bones"
35,"DAMIANO","Guestlist"
36,"Kenya Grace","Strangers"
37,"Kid Francescoli","Nopalitos"
38,"Peggy Gou","(It Goes Like) Nanana (Edit)"
39,"Cigarettes After Sex","Apocalypse"
40,"Petros Iakovidis","Pes Mou Kati"
41,"Dua Lipa","Houdini"
42,"Cafe De Anatolia, Christos Papadopoulos, Dim Angelo & Alex Mihalakis","Sunset In Aegean"
43,"Alex Sid","Spinner"
44,"Lava, ROPEX LATERIO & Paris Kalpos","Balkan Disco"
45,"cassö, RAYE & D-Block Europe","Prada"
46,"TOQUEL, LILA & Beyond","Allou"
47,"Gianni Romano & Emanuele Esposito","It's Not Right (feat. Helen Tesfazghi)"
48,"&ME & Black Coffee","The Rapture Pt. III"
49,"Tripolism, Nandu & Radeckt","Dope Dance"
50,"BENNETT","Vois sur ton chemin (Techno Mix)"
