Shazam Top 50 Sheffield
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Ed Sheeran","Life Goes On"
3,"Noah Kahan","Stick Season"
4,"Lewis Capaldi","Strangers"
5,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
6,"Jim James","State Of The Art (A.E.I.O.U.)"
7,"Billie Eilish","bury a friend"
8,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
9,"Ella Henderson","Alibi (feat. Rudimental)"
10,"Fred again.. & Baby Keem","leavemealone"
11,"Lynyrd Skynyrd","Simple Man"
12,"Jack Harlow","Lovin On Me"
13,"Tomcraft","Loneliness (Radio Cut)"
14,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
15,"Jason Mraz","I Feel Like Dancing"
16,"Quaker City Night Hawks","Beat the Machine"
17,"cassö, RAYE & D-Block Europe","Prada"
18,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
19,"Georgia Ku","A Little More Lost"
20,"Ilsey","No California"
21,"Ursine Vulpine & Annaca","Wicked Game"
22,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
23,"The Unthanks","Magpie"
24,"SBTRKT & Sampha","Living Like I Do"
25,"Bishop Briggs","White Flag"
26,"Ariana Grande","yes, and?"
27,"Sammy Virji","If U Need It"
28,"Birdy","People Help the People"
29,"Zara Larsson & David Guetta","On My Love"
30,"Jennifer Lopez","Can't Get Enough"
31,"Sophie Ellis-Bextor","Murder On The Dancefloor"
32,"Kofi Nti & Ofori Amponsah","Odo nwom"
33,"The Last Dinner Party","Nothing Matters"
34,"P!nk","Try"
35,"Tyla","Water"
36,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
37,"The Cult","She Sells Sanctuary"
38,"Radiohead","Everything In Its Right Place"
39,"Nina Simone","Sinnerman"
40,"Sabrina Carpenter","Feather"
41,"Peggy Gou","(It Goes Like) Nanana (Edit)"
42,"Belters Only, Sonny Fodera & Jazzy","Life Lesson"
43,"The Handsome Family","Far from Any Road"
44,"Becky Hill & Chase & Status","Disconnect"
45,"Sia","Gimme Love"
46,"venbee","rampage (feat. DJ SS)"
47,"Natasha Bedingfield","Unwritten"
48,"Taylor Swift","Cruel Summer"
49,"Tate McRae","greedy"
50,"James Arthur","Bitter Sweet Love"
