Shazam Top 200 Mozambique Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kabza De Small & Mthunzi","Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)"
2,"Dj Stokie & Eemoh","Masithokoze"
3,"Wanitwa Mos, Nkosazana Daughter & Master KG","Keneilwe (feat. Dalom Kids)"
4,"Lindough","Ok'salayo (feat. DJ Active, Freddie Gwala & Kingshort)"
5,"Sam Deep, Njelic & Aymos","Isgubhu"
6,"Harrycane, Master KG & Eemoh","Dubula (feat. DJ Latimmy) [Remake]"
7,"Bassie & Aymos","Izenzo (feat. T-Man SA)"
8,"Dlala Thukzin, Zaba & Sykes","iPlan"
9,"Wanitwa Mos, Nkosazana Daughter & Master KG","Makhelwane (feat. Casswell P)"
10,"Nandipha808 & Ceeka RSA","Forgive Our Trespasses (feat. Demola)"
11,"Mellow & Sleazy, SjavasDaDeejay & Titom","Imnandi lento (feat. Tman Xpress)"
12,"De Mthuda, Da Muziqal Chef & Eemoh","Sgudi Snyc"
13,"Pcee","Gabriella (feat. Officixl Rsa)"
14,"Cleyton da Drena","Macã ya Eva"
15,"Isadora Pompeo","Bênçãos Que Não Têm Fim (Counting My Blessings)"
16,"Shakes & Les, DBN Gogo & Zee Nxumalo","Funk 55 (feat. Ceeka RSA & Chley)"
17,"MC PH & Murillo e LT no Beat","Os Menino Tá Com o Pacote"
18,"Yamê","Bécane - A Colors Show"
19,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
20,"Sam Deep & Eemoh","iMpumelelo (feat. Da Muziqal Chef)"
21,"ABUTI WADI SPVRCLEZ, II Wise Fellas & Major Keys","Mana Kancane (feat. ChillyboyRsa, Nox Man & Kgocee)"
22,"Ggoldie","Asambe (feat. Chley, Ceeka RSA, T.M.A_Rsa & RIVALZ)"
23,"Nandipha808 & Ceeka RSA","Banike (feat. Philharmonic & LeeMcKrazy)"
24,"DJ Boy, MC Joãozinho VT & MC Kako","Pior Versão (feat. Oruam & MC Ryan SP)"
25,"Tyla","Water"
26,"Fábio Hustle","Bipolar"
27,"uLazi","yey (feat. Infinity MusiQ)"
28,"Toby Franco & Major Keys","Umona (feat. Tumelo_za, Yuppe & Chley)"
